"","old.salaries","new.salaries","raise","got.raise"
"Employee  1",15471.5831857175,24660.3985223919,9188.81533667445,TRUE
"Employee  2",17024.5250617154,22619.9621916749,5595.43712995946,TRUE
"Employee  3",16939.8295274004,18340.9336069599,1401.10407955945,TRUE
"Employee  4",16430.3230843507,20935.9419951215,4505.61891077086,TRUE
"Employee  5",18829.260522034,22251.7891740426,3422.52865200862,TRUE
"Employee  6",16310.5632923543,15497.2274065949,-813.335885759443,FALSE
"Employee  7",17703.4537214786,22104.3024049141,4400.84868343547,TRUE
"Employee  8",12744.5594174787,15547.3345285282,2802.77511104941,TRUE
"Employee  9",13671.6858367436,23223.5220680013,9551.83623125777,TRUE
"Employee  10",15839.6912622266,19864.8738395423,4025.18257731572,TRUE
"Employee  11",11288.8949434273,24959.7517028451,13670.8567594178,TRUE
"Employee  12",11594.6648595855,20591.3114268333,8996.64656724781,TRUE
"Employee  13",18673.4580039047,16161.9795695879,-2511.47843431681,FALSE
"Employee  14",13468.250578735,15806.9349289872,2338.68435025215,TRUE
"Employee  15",15120.7372592762,23442.5970050506,8321.85974577442,TRUE
"Employee  16",19259.9176662043,15424.1305869073,-3835.78707929701,FALSE
"Employee  17",10568.9407000318,21373.7490680069,10804.8083679751,TRUE
"Employee  18",13217.6828407682,19925.2308881842,6707.54804741591,TRUE
"Employee  19",12906.7244171165,15750.4430948757,2843.71867775917,TRUE
"Employee  20",19246.8270030804,21959.8895078525,2713.0625047721,TRUE
"Employee  21",12090.5151590705,17109.2880284414,5018.77286937088,TRUE
"Employee  22",15994.7342309169,19039.7099801339,3044.97574921697,TRUE
"Employee  23",16787.5963891856,20636.9690410793,3849.37265189365,TRUE
"Employee  24",17197.1589722671,22587.263637688,5390.10466542095,TRUE
"Employee  25",10755.3937286139,15337.8674597479,4582.47373113409,TRUE
"Employee  26",16389.9164530449,16417.115367949,27.1989149041474,TRUE
"Employee  27",18243.7092927285,21122.6525506936,2878.94325796515,TRUE
"Employee  28",19739.1754062846,24687.8592786379,4948.68387235329,TRUE
"Employee  29",10039.1245284118,18395.7235934213,8356.5990650095,TRUE
"Employee  30",10008.7988935411,17777.5453682989,7768.74647475779,TRUE
"Employee  31",19313.6189621873,19873.0512079783,559.432245790958,TRUE
"Employee  32",11045.1733809896,22356.4107506536,11311.237369664,TRUE
"Employee  33",16301.124272868,21375.6613037549,5074.53703088686,TRUE
"Employee  34",11589.5037492737,16354.0025544353,4764.49880516157,TRUE
"Employee  35",12689.799531363,15793.6811656691,3103.88163430616,TRUE
"Employee  36",17753.3540735021,22160.0559842773,4406.70191077515,TRUE
"Employee  37",19078.074619174,17305.833355058,-1772.24126411602,FALSE
"Employee  38",17021.5832791291,23549.7916047461,6528.20832561702,TRUE
"Employee  39",15288.8093935326,24099.6629046276,8810.85351109505,TRUE
"Employee  40",10304.6791977249,19778.4959431738,9473.81674544886,TRUE
"Employee  41",17738.4423930198,17734.5830481499,-3.85934486985207,FALSE
"Employee  42",17400.2753896639,19136.2607385963,1735.98534893245,TRUE
"Employee  43",19821.8254302628,17032.4164163321,-2789.40901393071,FALSE
"Employee  44",14110.5442144908,19025.2866409719,4914.7424264811,TRUE
"Employee  45",13637.7344070934,19989.9465637282,6352.21215663478,TRUE
"Employee  46",13154.2299361899,17060.6262073852,3906.39627119526,TRUE
"Employee  47",14950.2341938205,19888.124007266,4937.88981344551,TRUE
"Employee  48",14311.7657047696,23272.5309138186,8960.76520904899,TRUE
"Employee  49",13494.4648714736,19221.5843708254,5727.11949935183,TRUE
"Employee  50",12303.6432615481,17886.0702784732,5582.42701692507,TRUE
"Employee  51",17453.3595121466,17881.9988574833,428.639345336705,TRUE
"Employee  52",16053.5358567722,21526.6355616041,5473.09970483184,TRUE
"Employee  53",15215.8143976703,16710.570610594,1494.75621292368,TRUE
"Employee  54",16956.6500768997,22565.2057747357,5608.55569783598,TRUE
"Employee  55",13789.8462545127,16056.1306541786,2266.28439966589,TRUE
"Employee  56",16609.087085817,21201.1836073361,4592.09652151912,TRUE
"Employee  57",11684.6466809511,19834.4825487584,8149.83586780727,TRUE
"Employee  58",13350.3392292187,18659.0060754679,5308.66684624925,TRUE
"Employee  59",13188.7284107506,21388.861106243,8200.13269549236,TRUE
"Employee  60",17816.4206095971,24053.3618535846,6236.94124398753,TRUE
"Employee  61",10272.4001021124,24316.3373670541,14043.9372649416,TRUE
"Employee  62",10950.2792870626,16160.290860571,5210.01157350838,TRUE
"Employee  63",11217.5932270475,20422.052978538,9204.4597514905,TRUE
"Employee  64",13615.8408503979,17698.8480775617,4083.00722716376,TRUE
"Employee  65",18428.6481468007,24159.2815122567,5730.63336545601,TRUE
"Employee  66",17269.5621964522,24110.9416633844,6841.37946693227,TRUE
"Employee  67",14536.723876372,19841.7027899995,5304.97891362756,TRUE
"Employee  68",14706.3061920926,16961.6439496167,2255.3377575241,TRUE
"Employee  69",15602.2931355983,20928.6237484775,5326.33061287925,TRUE
"Employee  70",16864.9258720689,23921.5546916239,7056.62881955504,TRUE
"Employee  71",13410.5371404439,21734.3316646293,8323.79452418536,TRUE
"Employee  72",15764.4355297089,20047.0235571265,4282.58802741766,TRUE
"Employee  73",13263.6101637036,15552.2036529146,2288.59348921105,TRUE
"Employee  74",15549.847104121,20904.4301812537,5354.5830771327,TRUE
"Employee  75",12055.4679306224,23384.900491219,11329.4325605966,TRUE
"Employee  76",19631.3081472181,18471.8029829673,-1159.50516425073,FALSE
"Employee  77",17659.1643691063,21103.6703502759,3444.50598116964,TRUE
"Employee  78",18986.8946489878,24246.846770402,5259.95212141424,TRUE
"Employee  79",18530.7291825302,16728.2229335979,-1802.50624893233,FALSE
"Employee  80",17118.4929460287,19619.0372342244,2500.54428819567,TRUE
"Employee  81",16635.8638578095,24673.4839631245,8037.620105315,TRUE
"Employee  82",17129.5867930166,20903.2829920761,3773.69619905949,TRUE
"Employee  83",12400.6685335189,15323.6153698526,2922.94683633372,TRUE
